representation,target,task,metric,seed,trained,random_label,descriptor,descriptor_noleak,baseline_leaky,gap_vs_descriptor,gap_vs_descriptor_noleak,chance,prevalence,rdkit_version
latent,size,regression,R2,3,0.9881214161030853,-0.06079077801678978,0.9832482118511946,0.9832482118511946,False,0.00487320425189075,0.00487320425189075,0.0,,2023.09.5
reconstruction,size,regression,R2,3,0.9844195249181749,-0.014181531809090764,0.9832482118511946,0.9832482118511946,False,0.0011713130669802618,0.0011713130669802618,0.0,,2023.09.5
raw,polarity,regression,R2,3,0.9927736864067994,-0.007261204030973412,0.9853240689027153,0.9853240689027153,False,0.007449617504084127,0.007449617504084127,0.0,,2023.09.5
latent,polarity,regression,R2,3,0.9730238661443744,-0.05540111044160634,0.9853240689027153,0.9853240689027153,False,-0.012300202758340872,-0.012300202758340872,0.0,,2023.09.5
reconstruction,polarity,regression,R2,3,0.9652264865531036,-0.009513313214756014,0.9853240689027153,0.9853240689027153,False,-0.020097582349611676,-0.020097582349611676,0.0,,2023.09.5
raw,flexibility,regression,R2,3,0.7099790739030176,-0.011824949065591062,0.9999999844192593,0.902496404545586,True,-0.2900209105162417,-0.19251733064256837,0.0,,2023.09.5
latent,flexibility,regression,R2,3,0.6127475043841717,-0.06165299794148549,0.9999999844192593,0.902496404545586,True,-0.3872524800350876,-0.2897489001614143,0.0,,2023.09.5
reconstruction,flexibility,regression,R2,3,0.5935561419061387,-0.014237086949282718,0.9999999844192593,0.902496404545586,True,-0.4064438425131206,-0.3089402626394473,0.0,,2023.09.5
raw,molecular_weight,regression,R2,3,0.9973799184167921,-0.0015932590009775094,0.9832481857474387,0.9832481857474387,False,0.014131732669353414,0.014131732669353414,0.0,,2023.09.5
latent,molecular_weight,regression,R2,3,0.9881227812128545,-0.06621224003342951,0.9832481857474387,0.9832481857474387,False,0.004874595465415799,0.004874595465415799,0.0,,2023.09.5
reconstruction,molecular_weight,regression,R2,3,0.9844168899586707,-0.00960977959654663,0.9832481857474387,0.9832481857474387,False,0.0011687042112320523,0.0011687042112320523,0.0,,2023.09.5
raw,halogen,classification,AUROC,3,1.0,0.4948673494104462,1.0,0.9999528437186275,True,0.0,4.715628137252903e-05,0.5,0.49931365820178447,2023.09.5
latent,halogen,classification,AUROC,3,0.9994746556422296,0.5053585395418696,1.0,0.9999528437186275,True,-0.0005253443577704076,-0.0004781880763978785,0.5,0.49931365820178447,2023.09.5
reconstruction,halogen,classification,AUROC,3,0.9999403726359504,0.48382024502552384,1.0,0.9999528437186275,True,-5.9627364049630316e-05,-1.2471082677101286e-05,0.5,0.49931365820178447,2023.09.5
raw,aromaticity,classification,AUROC,3,0.9996868287167892,0.4865761285136363,1.0,0.9999988694177502,True,-0.00031317128321084464,-0.0003120407009610249,0.5,0.9061271604167966,2023.09.5
latent,aromaticity,classification,AUROC,3,0.9997535330695307,0.5071463966916805,1.0,0.9999988694177502,True,-0.00024646693046925794,-0.00024533634821943817,0.5,0.9061271604167966,2023.09.5
reconstruction,aromaticity,classification,AUROC,3,0.9996461277557942,0.4899147652072635,1.0,0.9999988694177502,True,-0.00035387224420579955,-0.0003527416619559798,0.5,0.9061271604167966,2023.09.5
raw,urea,classification,AUROC,3,0.9098543099959532,0.5312668113603056,0.9999775169746842,0.9999775169746842,False,-0.090123206978731,-0.090123206978731,0.5,0.009546390466088475,2023.09.5
latent,urea,classification,AUROC,3,0.911832816223751,0.5518664752333093,0.9999775169746842,0.9999775169746842,False,-0.08814470075093317,-0.08814470075093317,0.5,0.009546390466088475,2023.09.5
reconstruction,urea,classification,AUROC,3,0.8647196366743108,0.5501013915110832,0.9999775169746842,0.9999775169746842,False,-0.13525788030037333,-0.13525788030037333,0.5,0.009546390466088475,2023.09.5
raw,boron,classification,AUROC,3,1.0,0.3949778291883555,1.0,1.0,True,0.0,0.0,0.5,0.002870156610719411,2023.09.5
latent,boron,classification,AUROC,3,0.9977664611810952,0.6543375323863129,1.0,1.0,True,-0.0022335388189047567,-0.0022335388189047567,0.5,0.002870156610719411,2023.09.5
reconstruction,boron,classification,AUROC,3,1.0,0.5010429703796412,1.0,1.0,True,0.0,0.0,0.5,0.002870156610719411,2023.09.5
raw,drug_likeness,regression,R2,4,0.6021029962291993,-0.010592346671033814,0.597051317950369,0.597051317950369,False,0.0050516782788302406,0.0050516782788302406,0.0,,2023.09.5
latent,drug_likeness,regression,R2,4,0.6358728369493634,-0.03973316321133913,0.597051317950369,0.597051317950369,False,0.03882151899899433,0.03882151899899433,0.0,,2023.09.5
