feature,n_properties,properties,semanticity,activation_frequency,top_enriched_substructures,n_enriched,w_drug_likeness,w_complexity_ringproxy,w_lipophilicity,w_size,w_polarity,w_flexibility,w_molecular_weight,w_halogen,w_aromaticity,w_urea,w_boron
24,2,size|molecular_weight,polysemantic,0.30080489174518,ester(+60pts),1,0.025796491652727127,0.009328260086476803,-0.012954769656062126,-0.02498697303235531,-0.025107568129897118,0.082918681204319,-12.46764850616455,0.10082883245145784,-0.06126738524850896,-0.48081118270992473,0.031126636571395295
387,2,aromaticity|boron,polysemantic,0.7503899669308043,aromatic_N(+53pts)|amide(-37pts)|halogen_Br(+33pts),3,0.001591435051523149,0.005219786427915096,-0.10016822814941406,-0.0022447332739830017,0.009866307489573956,0.01344771683216095,-1.1206977367401123,0.6702033173465199,0.9217837848418767,0.5835308387303636,0.19251251597588454
400,2,size|molecular_weight,polysemantic,0.33961440069882076,benzene(-83pts)|amide(-60pts)|halogen_F(-47pts),4,0.000850032374728471,-0.0062369080260396,0.36057206988334656,0.018570005893707275,0.027336174622178078,0.05378404259681702,9.264252662658691,0.08588165283454179,0.3535497422328588,-0.10426075077697003,-0.0461399586081282
845,2,polarity|urea,polysemantic,0.49070318836962623,halogen_Cl(+67pts)|amide(-63pts),2,-0.0002773030719254166,0.006471014115959406,0.32031434774398804,-0.003421188797801733,-0.03954968601465225,0.04100816696882248,-1.6896305084228516,-0.23861193733861455,-0.7608000476047491,0.9760084085776171,-0.043111234702467874
365,2,drug_likeness|halogen,polysemantic,0.37000062394708927,ester(+67pts)|ether(+53pts),2,-0.10326293855905533,-0.005360901355743408,0.07801054418087006,-0.0005347427213564515,0.0010931629221886396,-0.021533090621232986,-0.2739708125591278,-1.8368857355013195,-0.11819494809954412,-0.5527300483055736,0.01629569416533221
266,2,size|molecular_weight,polysemantic,0.49575715979284957,benzene(-70pts)|amide(-60pts)|aromatic_N(-47pts),3,-0.022932019084692,-0.010331659577786922,-0.15794335305690765,-0.03966151922941208,0.024805063381791115,-0.03575326129794121,-19.860843658447266,-0.21811962952556954,-0.6712057045648119,0.12271517562900658,0.05657541599802477
777,1,boron,monosemantic,0.003899669308042678,aromatic_N(-67pts)|halogen_F(+63pts)|amide(-53pts),3,0.0021777707152068615,-4.3561489292187616e-05,0.015469672158360481,0.00014384611858986318,0.00011615206312853843,-0.0002391540474491194,0.07199524343013763,0.10802256794130094,0.12965835396831643,0.14058845714993853,0.2638039209307574
986,1,halogen,monosemantic,0.12769077182254945,halogen_F(+83pts),1,0.004428992513567209,0.0007717222324572504,0.023987723514437675,-3.2910331356106326e-05,0.0030245897360146046,-0.007938595488667488,-0.017478788271546364,1.4128299720065087,0.10421149490175237,0.5737847782109459,-0.10660236531752006
787,1,boron,monosemantic,0.00811131216072877,boron(+90pts)|boronic_acid_or_ester(+90pts),2,0.0009093733387999237,0.000489768513944,-0.008107003755867481,-0.00038731787935830653,0.0006195110036060214,0.0008874471532180905,-0.19359205663204193,0.060459058913326015,-0.11726616872763432,-0.4105004371177028,0.2970832423789022
983,1,flexibility,monosemantic,0.42465838896861546,aromatic_N(+43pts)|ester(+40pts),2,-0.018798142671585083,0.010870302096009254,-0.1664263904094696,-0.0020103459246456623,0.002363912295550108,-0.08855696022510529,-1.024719476699829,0.07766511701161796,0.34518480632883664,-0.1264373619821737,-0.0047626245161830815
992,1,halogen,monosemantic,0.20016222624321459,ester(+57pts),1,0.005977635271847248,0.004612889140844345,-0.25347989797592163,-0.012802304700016975,0.015827570110559464,0.02805820107460022,-6.398932456970215,-1.520662957123133,0.33354206961202804,-0.5263669256275836,0.11757286399664917
954,1,urea,monosemantic,0.09483995757159792,benzene(-53pts)|amide(-47pts),2,0.003048549871891737,-0.00431812833994627,-0.0046276007778942585,-0.006447297520935535,-0.00048247940139845014,0.03133666515350342,-3.215010166168213,-0.15275509734706058,-0.6609032582989798,1.2488314480477565,0.13402868131961126
952,1,aromaticity,monosemantic,0.29690522243713735,amide(-53pts)|aromatic_S(+47pts)|sulfone(+47pts),4,0.0011085433652624488,0.006357492413371801,0.1532982736825943,0.001696896506473422,0.0037057704757899046,0.010065324604511261,0.8474081754684448,0.01929310889582751,1.6177600881308483,-0.6238624622999059,-0.008716543016694814
804,1,urea,monosemantic,0.004523616397329506,aromatic_N(-53pts)|amine_secondary(-43pts)|halogen_Cl(-33pts),3,-0.0012298699002712965,3.1060750188771635e-05,-0.0010805756319314241,0.0003663112875074148,-0.00032406538957729936,0.0003580726042855531,0.18312537670135498,-0.11041213961442616,-0.08282049209089777,-0.9772889747083241,-0.0023875585901196672
918,1,boron,monosemantic,0.5090160354401947,ether(+47pts)|amide(-40pts)|nitrile(-37pts),3,-0.00657255481928587,0.007632836699485779,0.27379661798477173,0.0012826956808567047,-0.025263911113142967,-0.005591917783021927,0.6403564214706421,0.6825583152805342,0.6262836159082791,0.3884355664066529,0.16720152596374735
905,1,boron,monosemantic,0.010856679353590816,boron(+73pts)|boronic_acid_or_ester(+60pts)|amide(-50pts),3,-0.0011075364891439676,-0.0001664854644332081,-0.011973146349191666,-0.0008116485550999641,-4.8529116611462086e-05,-0.0006929690134711564,-0.40581217408180237,0.02673600377268324,-0.0839763868078116,0.028710194639939558,0.508205297079828
813,1,boron,monosemantic,0.4062207524801897,halogen_I(+100pts)|amide(-40pts),2,-0.0017424800898879766,-2.485415097908117e-05,-0.051109038293361664,0.005647520534694195,-0.0032614159863442183,-0.011854683980345726,2.8239104747772217,0.7271562020790716,0.5028822711016867,-0.3332712974477043,-0.2628801076571693
748,1,boron,monosemantic,0.312316715542522,aromatic_N(-77pts)|carboxylic_acid(+60pts)|amide(-43pts),5,0.010436402633786201,0.0025619263760745525,-0.050394900143146515,-0.000444524921476841,-0.0022392943501472473,0.006880695931613445,-0.22292642295360565,0.01876360212123939,0.4051723440033035,-0.5213679953907439,0.22563400640865963
874,1,urea,monosemantic,0.2862669245647969,amide(-70pts)|benzene(-47pts),2,-0.01330516953021288,-0.006838751491159201,-0.322635293006897,-0.007671247236430645,0.001605841564014554,-0.047614313662052155,-3.8361599445343018,-0.9614190975209247,0.11577157206578574,1.4332872452507373,0.010614117984761676
841,1,complexity_ringproxy,monosemantic,0.47039371061334,benzene(+53pts)|ester(+37pts),2,0.004982542712241411,-0.024139855057001114,-0.05169902369379997,-0.004935855977237225,-0.01762438751757145,-0.009504389017820358,-2.4705288410186768,-0.5137232933804652,0.053474429639703516,-0.03774397079947158,0.00564091655516281
1013,1,drug_likeness,monosemantic,0.07911649092156985,benzene(-60pts)|amide(-47pts),2,-0.0844496637582779,0.01263097207993269,0.3555949032306671,0.003247107844799757,-0.0005089985206723213,0.055847615003585815,1.634660005569458,0.08809841731748011,0.08506426556155808,-0.06071781426817487,-0.023553773419152605
3,1,lipophilicity,monosemantic,0.26146502776564545,benzene(-70pts)|amide(-53pts),2,0.03325793892145157,-0.012241479940712452,-0.5229314565658569,-0.009908003732562065,0.023018062114715576,-0.06830766052007675,-4.9593892097473145,-0.3749676312918787,0.06256325249342981,-0.6556205672632942,0.044866122804337036
27,1,boron,monosemantic,0.13807949085917515,,0,-0.0006149000255391002,-1.3986538760946132e-05,-0.0021934439428150654,-0.0012010770151391625,-0.0015143364435061812,-0.005597500596195459,-0.6002429723739624,-0.3668990570574523,-0.22877823957599414,0.06275034692722338,0.6383248858510996
35,1,polarity,monosemantic,0.21089411617894802,benzene(-60pts)|amide(-50pts)|halogen_Cl(+43pts),3,-0.04898067191243172,-0.01096926350146532,0.27584511041641235,0.011119818314909935,-0.03420690819621086,0.08228947967290878,5.537416934967041,0.0541001597865828,-0.32669685952346483,0.06474555270225468,0.01914392130153483
